10617 4.833330 43.783298
42544 4.983330 43.516701
141438 5.433330 43.533298
19521 5.483330 43.333302
13679 5.416670 43.450001
43152 5.100000 43.633301
850726 5.376390 43.296700
14928 4.850000 43.883301
11770 5.233330 43.483299
10917 5.466670 43.349998
52661 4.633330 43.666698
46423 5.566670 43.283298
47544 5.050000 43.400002
17216 4.983330 43.400002
35021 5.250000 43.466702
13297 4.666670 43.799999
11209 5.366670 43.400002
25368 5.000000 43.583302
15357 4.950000 43.433300
19482 5.316670 43.408298
33829 5.600000 43.166698
10288 5.683330 43.450001
11180 4.816670 43.633301
34485 5.216670 43.416698
20474 5.466670 43.450001
13582 5.183330 43.466702
11764 5.633330 43.383301
11665 5.166670 43.383301
