2187 7.250000 43.783298
3290 7.216670 43.766701
1542 7.233330 43.799999
6821 7.150000 43.716702
19281 7.116670 43.716702
4052 7.183330 43.766701
51036 6.916670 43.666698
1266 6.866670 43.650002
4683 7.216670 43.866699
4007 7.050000 43.716702
2576 7.200000 43.816700
7867 6.883330 43.633301
13515 7.433330 43.750000
6355 7.050840 43.665600
1469 7.366670 43.799999
9449 7.100000 43.633301
5419 7.316670 43.700001
4729 7.266670 43.783298
12275 7.000000 43.633301
1805 6.900000 43.950001
28252 7.050000 43.583302
3486 7.116670 43.700001
3527 7.450000 43.883301
4385 7.316670 43.750000
3042 6.916670 43.599998
3180 7.400000 43.750000
7010 7.316670 43.816700
10198 6.966670 43.616699
5004 7.283330 43.733299
74120 7.116670 43.583302
2686 7.366670 43.716702
73234 7.016670 43.549999
15020 7.116670 43.650002
3682 7.150000 43.750000
2795 6.988890 43.701401
2115 6.983330 43.666698
6809 6.933330 43.599998
3321 6.850000 43.700001
18917 7.000000 43.599998
42320 7.016670 43.566700
2291 7.400000 43.799999
11508 7.183330 43.799999
1494 7.166670 43.849998
10332 7.316670 43.750000
3857 7.016670 43.683300
1410 6.866670 43.666698
47141 7.150000 43.666698
3140 6.850000 43.650002
1672 7.300000 44.016701
1551 6.933330 43.500000
28858 7.500000 43.783298
29963 7.183330 43.666698
1382 7.383330 43.783298
1284 7.450000 43.783298
4962 6.950000 43.599998
1239 7.316670 43.766701
343304 7.250000 43.700001
3245 6.975010 43.674999
1324 7.250000 44.066700
1237 7.366670 43.883301
1343 7.316670 43.966702
2030 7.333330 43.683300
2084 7.600000 44.083302
1317 7.166670 43.816700
1913 7.283330 43.750000
2313 7.500000 43.933300
12532 7.466670 43.766701
3761 7.333330 43.700001
5022 7.400000 43.716702
2399 7.350000 43.833302
3670 6.800000 43.650002
7676 7.100000 43.683300
1197 7.466670 43.799999
1304 6.925000 44.258301
22203 6.933330 43.549999
1279 7.328900 43.830299
